,NewDate,# of RFpred==1,# of RFpred==0,# of RFpred==-1,# of SVMpred==1,# of SVMpred==0,# of SVMpred==-1,,Real,RF pred,RF result,SVM pred,SVM result,,,no data,--,,
284,342,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
285,343,2,2,0,1,3,0,,0,-1,d-1,down,dd,,,,,,
286,344,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
287,345,1,4,0,0,5,0,,0,down,dd,down,dd,,,,,,
288,346,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
289,347,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
290,348,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
291,349,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
292,350,2,2,0,0,4,0,,0,-1,d-1,down,dd,,,,,,
293,351,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
294,352,1,2,0,0,3,0,,0,down,dd,down,dd,,,,,,
295,353,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
296,354,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
297,355,1,3,0,0,4,0,,1,down,rd,down,rd,,,,,,
298,356,1,1,0,0,2,0,,0,-1,d-1,down,dd,,,,,,
299,357,1,2,0,0,3,0,,0,down,dd,down,dd,,,,,,
300,358,1,1,0,0,2,0,,1,-1,r-1,down,rd,,,,,,
301,359,3,2,0,0,5,0,,1,rise,rr,down,rd,,,,,,
302,360,7,3,0,2,8,0,,1,rise,rr,down,rd,,,,,,
303,361,8,2,0,2,8,0,,1,rise,rr,down,rd,,,,,,
304,362,5,2,0,3,4,0,,0,rise,dr,down,dd,,,,,,
305,363,1,2,0,1,2,0,,0,down,dd,down,dd,,,,,,
306,364,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
307,365,1,2,0,0,3,0,,0,down,dd,down,dd,,,,,,
308,366,0,4,0,0,4,0,,0,down,dd,down,dd,,,,,,
309,367,2,2,0,0,4,0,,1,-1,r-1,down,rd,,,,,,
310,368,3,5,0,1,7,0,,1,down,rd,down,rd,,,,,,
311,369,7,1,1,2,6,1,,0,rise,dr,down,dd,,,,,,
312,370,1,2,0,0,3,0,,0,down,dd,down,dd,,,,,,
313,371,2,2,0,1,3,0,,1,-1,r-1,down,rd,,,,,,
314,372,1,2,0,0,3,0,,0,down,dd,down,dd,,,,,,
315,373,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
316,374,1,5,0,1,5,0,,0,down,dd,down,dd,,,,,,
317,375,2,1,0,0,3,0,,1,rise,rr,down,rd,,,,,,
318,376,4,2,0,1,5,0,,0,rise,dr,down,dd,,,,,,
319,377,0,3,0,0,3,0,,1,down,rd,down,rd,,,,,,
320,378,2,1,0,0,3,0,,1,rise,rr,down,rd,,,,,,
321,379,1,2,0,1,2,0,,0,down,dd,down,dd,,,,,,
322,380,1,3,0,0,4,0,,0,down,dd,down,dd,,,,,,
323,381,1,2,0,0,3,0,,0,down,dd,down,dd,,,,,,
324,382,3,4,0,0,7,0,,0,down,dd,down,dd,,,,,,
325,383,1,2,0,0,3,0,,0,down,dd,down,dd,,,,,,
326,384,1,2,0,1,2,0,,1,down,rd,down,rd,,,,,,
327,385,1,2,0,0,3,0,,0,down,dd,down,dd,,,,,,
328,386,0,2,0,0,2,0,,1,down,rd,down,rd,,,,,,
329,387,0,3,0,0,3,0,,0,down,dd,down,dd,,,,,,
330,388,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
331,389,2,0,0,0,2,0,,1,rise,rr,down,rd,,,,,,
332,390,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
333,391,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
334,392,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
335,393,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
336,394,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
337,395,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
338,396,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
339,397,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
340,398,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
341,399,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
342,400,1,1,0,0,2,0,,1,-1,r-1,down,rd,,,,,,
343,401,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
344,402,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
345,403,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
346,404,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
347,405,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
348,406,0,2,0,0,2,0,,0,down,dd,down,dd,,,,,,
349,407,1,4,0,1,4,0,,0,down,dd,down,dd,,,,,,
350,408,2,1,0,1,2,0,,0,rise,dr,down,dd,,,,,,
351,409,1,1,0,0,2,0,,0,-1,d-1,down,dd,,,,,,
352,410,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
353,411,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
354,412,1,1,0,0,2,0,,0,-1,d-1,down,dd,,,,,,
355,413,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
356,414,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
357,415,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
358,416,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
359,417,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
360,418,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
361,419,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
362,420,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
363,421,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
364,422,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
365,423,--,--,--,--,--,--,,1,-1,r-1,-1,r-1,,,,,,
366,424,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
367,425,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
368,426,--,--,--,--,--,--,,0,-1,d-1,-1,d-1,,,,,,
369,427,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
370,428,0,1,0,0,1,0,,0,down,dd,down,dd,,,,,,
371,429,0,1,0,0,1,0,,1,down,rd,down,rd,,,,,,
