gram,TF,DF,TF_IDF,all_TF,all_DF,all_TF_IDF,expected_TF,expected_DF,DF_chisquare,MI,Lift,TF*DF_chisquare
終場,886,501,1.827761555,28195,17441,6.968884281,123.8253955,76.59651437,2351.521086,1.97426E-05,6.540767607,2083447.682
外資買超前五,182,182,2.943165082,649,649,10.32348495,2.850245847,2.850245847,11260.30389,0.000192736,63.85414092,2049375.309
收上,321,319,2.311040373,3883,3307,9.181965609,17.05316583,14.52351775,6383.15936,6.62969E-05,21.96437568,2048994.155
傳產,621,346,2.36608083,9550,6924,8.365749844,41.94121393,30.40847804,3275.336852,3.43444E-05,11.3784057,2033984.185
投信,1042,514,1.815673917,41471,20983,6.732067881,182.1302705,92.1520934,1931.108125,1.68358E-05,5.57773547,2012214.666
漲美,613,307,2.559280282,15482,5583,9.203419995,67.99307582,24.51914109,3254.413985,3.77927E-05,12.52083011,1994955.773
股價,2001,656,1.488055804,103556,46707,5.117972146,454.7920786,205.1254743,991.0414037,9.65292E-06,3.198042575,1983073.849
三大法人合,331,320,2.315036682,3793,3535,9.029002985,16.65790832,15.52483678,5971.407386,6.22154E-05,20.61213297,1976535.845
元外資買超前,179,179,2.960128664,645,645,10.32644267,2.832678847,2.832678847,10956.03375,0.000190735,63.19106742,1961130.041
投信買超前五,179,179,2.960128664,646,646,10.32570288,2.837070597,2.837070597,10938.52854,0.00019044,63.09324843,1957996.609
多單,775,342,2.445736376,41081,8406,8.957327585,180.4174879,36.91705176,2521.209058,2.79624E-05,9.264011715,1953937.02
察盤面變化,177,176,2.979529333,624,621,10.34997605,2.740452094,2.727276843,11008.5768,0.000194786,64.53323594,1948518.094
觀察盤面變化,177,176,2.979529333,624,621,10.34997605,2.740452094,2.727276843,11008.5768,0.000194786,64.53323594,1948518.094
方面融資,177,177,2.971537375,628,628,10.33905536,2.758019094,2.758019094,11007.99772,0.000193709,64.1764955,1948415.597
化方面融資,177,177,2.971537375,628,628,10.33905536,2.758019094,2.758019094,11007.99772,0.000193709,64.1764955,1948415.597
券賣出金額,177,177,2.971537375,628,628,10.33905536,2.758019094,2.758019094,11007.99772,0.000193709,64.1764955,1948415.597
資券變化方面,177,177,2.971537375,628,628,10.33905536,2.758019094,2.758019094,11007.99772,0.000193709,64.1764955,1948415.597
券變化方面融,177,177,2.971537375,628,628,10.33905536,2.758019094,2.758019094,11007.99772,0.000193709,64.1764955,1948415.597
變化方面融資,177,177,2.971537375,628,628,10.33905536,2.758019094,2.758019094,11007.99772,0.000193709,64.1764955,1948415.597
元融資餘額為,177,177,2.971537375,628,628,10.33905536,2.758019094,2.758019094,11007.99772,0.000193709,64.1764955,1948415.597
借券賣出金額,177,177,2.971537375,628,628,10.33905536,2.758019094,2.758019094,11007.99772,0.000193709,64.1764955,1948415.597
信買超前五大,178,178,2.965822949,643,643,10.32792298,2.823895347,2.823895347,10866.78643,0.000190259,63.03349741,1934287.985
資買超前五大,178,178,2.965822949,644,644,10.32718271,2.828287097,2.828287097,10849.36852,0.000189964,62.9356193,1931187.597
張融券餘額為,176,176,2.977272102,624,623,10.34467628,2.740452094,2.736060344,10972.12379,0.000194161,64.32606664,1931093.787
口借券賣出金,176,176,2.977272102,623,623,10.34277769,2.736060344,2.736060344,10972.12379,0.000194161,64.32606664,1931093.787
萬張融券餘額,176,176,2.977272102,625,624,10.34392784,2.744843844,2.740452094,10953.98493,0.00019385,64.22298,1927901.348
五大,770,222,3.173358615,6800,3829,9.361246326,29.86390102,16.81601132,2503.594247,3.98478E-05,13.20170376,1927767.57
億元融資餘額,178,178,2.965822949,650,648,10.32784915,2.854637598,2.845854097,10780.23461,0.000188791,62.54712783,1918881.76
三大,971,525,1.765156666,32060,21435,6.547151574,140.7995098,94.13716447,1972.045622,1.68334E-05,5.57696849,1914856.299
台指期部,189,189,2.904259639,777,776,10.23322202,3.412389867,3.407998117,10106.92788,0.000167393,55.45777713,1910209.368
餘額為萬張外,174,174,2.988803113,610,610,10.35248166,2.678967592,2.678967592,10956.04749,0.000196045,64.95039378,1906352.262
額為萬張外資,174,174,2.988803113,610,610,10.35248166,2.678967592,2.678967592,10956.04749,0.000196045,64.95039378,1906352.262
融券餘額為萬,176,176,2.977272102,634,633,10.33720262,2.784369595,2.779977845,10793.31482,0.000191094,63.30985706,1899623.408
券餘額為萬張,176,176,2.977272102,634,633,10.33720262,2.784369595,2.779977845,10793.31482,0.000191094,63.30985706,1899623.408
外資台指期部,174,174,2.988803113,613,613,10.35023902,2.692142842,2.692142842,10900.75217,0.000195086,64.63252888,1896730.877
資台指期部位,174,174,2.988803113,613,613,10.35023902,2.692142842,2.692142842,10900.75217,0.000195086,64.63252888,1896730.877
萬張外資台指,174,174,2.988803113,614,614,10.34949191,2.696534592,2.696534592,10882.4405,0.000194768,64.52726418,1893544.647
張外資台指期,174,174,2.988803113,614,614,10.34949191,2.696534592,2.696534592,10882.4405,0.000194768,64.52726418,1893544.647
盤面變化,177,176,2.979529333,647,643,10.33522727,2.841462347,2.823895347,10620.06893,0.000188122,62.32525586,1879752.2
為萬張外資台,173,173,2.994599727,608,608,10.35397781,2.670184091,2.670184091,10865.26067,0.00019556,64.78954038,1879690.096
超億元其中,211,209,2.801428365,1075,1071,10.03996436,4.721131411,4.703564411,8873.490389,0.00013412,44.43438672,1872306.472
群創,438,354,2.235354319,9404,5789,8.741202774,41.30001841,25.42384162,4246.497971,4.20278E-05,13.92393822,1859966.111
超億元投信,322,319,2.311930673,3677,3635,8.947093529,16.1484653,15.9640118,5752.364213,6.03147E-05,19.98244577,1852261.277
於台股,339,335,2.251625569,4329,4203,8.793678597,19.0118864,18.45852588,5428.304811,5.478E-05,18.14879488,1840195.331
大為,721,183,3.473730836,7166,2627,10.19979701,31.47128158,11.53712764,2548.252694,4.78771E-05,15.86183369,1837290.192
股為元,290,289,2.430482732,2778,2757,9.242023668,12.20028192,12.10805516,6332.077949,7.2044E-05,23.86840794,1836302.605
億元自營商,359,330,2.290721743,4614,4333,8.784494809,20.26353519,19.0294534,5081.73718,5.23434E-05,17.34153856,1824343.647
如下第一,176,176,2.977272102,664,664,10.31242845,2.9161221,2.9161221,10273.24226,0.000182172,60.35412578,1808090.638
多單部位口借,171,171,3.006256016,611,611,10.3517339,2.683359342,2.683359342,10557.84482,0.00019235,63.7260904,1805391.464
單部位口借券,171,171,3.006256016,611,611,10.3517339,2.683359342,2.683359342,10557.84482,0.00019235,63.7260904,1805391.464
部位口借券賣,171,171,3.006256016,611,611,10.3517339,2.683359342,2.683359342,10557.84482,0.00019235,63.7260904,1805391.464
位口借券賣出,171,171,3.006256016,611,611,10.3517339,2.683359342,2.683359342,10557.84482,0.00019235,63.7260904,1805391.464
幅折台股元中,276,276,2.48417777,2465,2465,9.347580229,10.82566412,10.82566412,6495.437844,7.69536E-05,25.49497167,1792740.845
幅由於每單位,276,276,2.48417777,2467,2467,9.346782874,10.83444762,10.83444762,6489.742037,7.68913E-05,25.47430286,1791168.802
張第,854,51,5.7214224,2367,271,13.50427016,10.39527261,1.190164291,2084.602733,0.000129341,42.85122684,1780250.734
口淨,298,217,2.871103645,2919,1677,10.25080356,12.81951869,7.364965002,5967.013813,8.89332E-05,29.46381958,1778170.116
面融資,177,177,2.971537375,693,692,10.29362317,3.043482854,3.039091104,9957.713273,0.000175794,58.24109707,1762515.249
日上漲,308,305,2.367201977,3811,3353,9.138219,16.73695982,14.72553825,5721.981886,6.25177E-05,20.71231589,1762370.421
三大法人合計,317,308,2.360807242,3756,3512,9.033577308,16.49541356,15.42382653,5549.907938,6.02744E-05,19.96910426,1759320.816
表現,1599,642,1.493744921,78355,42863,5.234772941,344.115583,188.2435867,1093.768379,1.02941E-05,3.410474754,1748935.638
元外資,344,321,2.321248288,4668,4135,8.888857172,20.5006897,18.15988687,5050.259111,5.33539E-05,17.67632157,1737289.134
電近十個交易,191,191,2.893312427,880,880,10.15997243,3.864740132,3.864740132,9061.309244,0.000149172,49.42117541,1730710.066
電在,327,320,2.311563799,4202,3945,8.896354081,18.45413413,17.32545434,5287.704367,5.57494E-05,18.4699341,1729079.328
券賣出金額為,166,166,3.035772696,584,584,10.37199486,2.564782088,2.564782088,10414.55747,0.000195358,64.72284753,1728816.54
元作收,368,325,2.321294302,5353,4560,8.801151392,23.50903855,20.02638068,4644.319408,4.89841E-05,16.22859393,1709109.542
掛牌以美元作,271,271,2.505702666,2458,2458,9.350374115,10.79492187,10.79492187,6272.086404,7.57747E-05,25.10439661,1699735.415
牌以美元作收,271,271,2.505702666,2458,2458,9.350374115,10.79492187,10.79492187,6272.086404,7.57747E-05,25.10439661,1699735.415
元自營商,360,331,2.286826977,4952,4668,8.690482713,21.74794674,20.5006897,4702.759912,4.87342E-05,16.14579825,1692993.568
析如下第一,165,165,3.041741912,588,588,10.36898424,2.582349088,2.582349088,10215.30879,0.000192861,63.89531173,1685525.95
分析如下第一,165,165,3.041741912,588,588,10.36898424,2.582349088,2.582349088,10215.30879,0.000192861,63.89531173,1685525.95
融資餘額為,177,177,2.971537375,726,723,10.27428852,3.188410609,3.175235359,9515.845407,0.000168257,55.74389927,1684304.637
電子,1449,626,1.524152164,74232,39879,5.397897672,326.0083971,175.1386042,1160.657863,1.07886E-05,3.574311916,1681793.244
餘額為億元融,167,167,3.029825682,611,611,10.3517339,2.683359342,2.683359342,10061.99877,0.00018785,62.23542162,1680353.795
折台股元中央,276,276,2.48417777,2618,2618,9.287701979,11.49760189,11.49760189,6084.8792,7.24563E-05,24.00500579,1679426.659
股元中央社台,276,276,2.48417777,2618,2618,9.287701979,11.49760189,11.49760189,6084.8792,7.24563E-05,24.00500579,1679426.659
台股元中央社,276,276,2.48417777,2619,2619,9.287317876,11.50199364,11.50199364,6082.353854,7.24287E-05,23.99584007,1678729.664
